Feature,Source columns,Type,Formula / mapping,Missing-value behavior,Rationale,Train-only descriptive finding,Redundancy concern,Leakage concern,Decision,Reason,Preprocessing requirement,Retained in default engineered schema?
Year,Date,Temporal,calendar year,none,Candidate temporal drift signal,Train mean No=2011.470; Yes=2011.395.,May proxy station coverage or measurement drift,Observation date only,OPTIONAL,Known at prediction time but potentially unstable drift proxy,Train-fitted median/scale if used,False
Month,Date,Temporal,calendar month 1-12,none,Interpretable seasonality,Train mean No=6.561; Yes=6.649.,Redundant with cyclical month and Season,Observation date only,DROP,Reporting-only; numeric endpoints misrepresent December/January proximity,Not in default matrix,False
Season,Date,Categorical temporal,Australian mapping: DJF/MAM/JJA/SON,none,Interpretable Australian seasons,Four Train categories,Coarser duplicate of month cycle,Observation date only,DROP,Reporting-only; cyclical month retains smoother detail,Not in default matrix,False
Month_sin,Date,Cyclical temporal,sin(2π(Month-1)/12),none,Continuous annual seasonality,Train mean No=-0.031; Yes=-0.014.,Paired with Month_cos by design,Observation date only,KEEP,Preserves December/January closeness,Median imputation/optional scaling,True
Month_cos,Date,Cyclical temporal,cos(2π(Month-1)/12),none,Continuous annual seasonality,Train mean No=-0.002; Yes=-0.080.,Paired with Month_sin by design,Observation date only,KEEP,Preserves December/January closeness,Median imputation/optional scaling,True
TempRange,"MaxTemp, MinTemp",Numerical difference,MaxTemp - MinTemp,missing if either source is missing,Daily thermal range,Train mean No=11.921; Yes=7.869.,Deterministic combination; originals retained,Same-day measurements only,KEEP,Meaningful within-day change without discarding source levels,Train-fitted median/optional scaling,True
TempChange,"Temp3pm, Temp9am",Numerical difference,Temp3pm - Temp9am,missing if either source is missing,Positive means warmer at 3pm,Train mean No=5.348; Yes=2.552.,Deterministic combination; originals retained,Same-day measurements only,KEEP,Meaningful within-day change without discarding source levels,Train-fitted median/optional scaling,True
HumidityChange,"Humidity3pm, Humidity9am",Numerical difference,Humidity3pm - Humidity9am,missing if either source is missing,Positive means more humid at 3pm,Train mean No=-19.555; Yes=-9.080.,Deterministic combination; originals retained,Same-day measurements only,KEEP,Meaningful within-day change without discarding source levels,Train-fitted median/optional scaling,True
PressureChange,"Pressure3pm, Pressure9am",Numerical difference,Pressure3pm - Pressure9am,missing if either source is missing,Negative means lower pressure at 3pm,Train mean No=-2.475; Yes=-2.068.,Deterministic combination; originals retained,Same-day measurements only,KEEP,Meaningful within-day change without discarding source levels,Train-fitted median/optional scaling,True
WindSpeedChange,"WindSpeed3pm, WindSpeed9am",Numerical difference,WindSpeed3pm - WindSpeed9am,missing if either source is missing,Positive means stronger 3pm wind,Train mean No=4.710; Yes=4.515.,Deterministic combination; originals retained,Same-day measurements only,KEEP,Meaningful within-day change without discarding source levels,Train-fitted median/optional scaling,True
WindGustDir_sin,WindGustDir,Cyclical wind,sin(direction degrees),missing direction -> 0 plus explicit indicator,Preserves circular compass geometry,Train mean No=0.011; Yes=-0.124.,"Replaces, rather than duplicates, direction one-hot",Same-day direction only,KEEP,Compact circular default; one-hot remains T07 baseline alternative,Median imputation/optional scaling,True
WindGustDir_cos,WindGustDir,Cyclical wind,cos(direction degrees),missing direction -> 0 plus explicit indicator,Preserves circular compass geometry,Train mean No=-0.055; Yes=0.010.,"Replaces, rather than duplicates, direction one-hot",Same-day direction only,KEEP,Compact circular default; one-hot remains T07 baseline alternative,Median imputation/optional scaling,True
WindGustDir_missing,WindGustDir,Binary indicator,1 when original direction missing else 0,never missing,Distinguishes neutral encoding from observed direction,Train mean No=0.067; Yes=0.081.,Required companion to circular encoding,Same-day missingness only,KEEP,Prevents silent assignment of missing to a bearing,Binary passthrough; not scaled,True
WindDir9am_sin,WindDir9am,Cyclical wind,sin(direction degrees),missing direction -> 0 plus explicit indicator,Preserves circular compass geometry,Train mean No=0.046; Yes=-0.092.,"Replaces, rather than duplicates, direction one-hot",Same-day direction only,KEEP,Compact circular default; one-hot remains T07 baseline alternative,Median imputation/optional scaling,True
WindDir9am_cos,WindDir9am,Cyclical wind,cos(direction degrees),missing direction -> 0 plus explicit indicator,Preserves circular compass geometry,Train mean No=-0.012; Yes=0.114.,"Replaces, rather than duplicates, direction one-hot",Same-day direction only,KEEP,Compact circular default; one-hot remains T07 baseline alternative,Median imputation/optional scaling,True
WindDir9am_missing,WindDir9am,Binary indicator,1 when original direction missing else 0,never missing,Distinguishes neutral encoding from observed direction,Train mean No=0.077; Yes=0.063.,Required companion to circular encoding,Same-day missingness only,KEEP,Prevents silent assignment of missing to a bearing,Binary passthrough; not scaled,True
WindDir3pm_sin,WindDir3pm,Cyclical wind,sin(direction degrees),missing direction -> 0 plus explicit indicator,Preserves circular compass geometry,Train mean No=0.008; Yes=-0.101.,"Replaces, rather than duplicates, direction one-hot",Same-day direction only,KEEP,Compact circular default; one-hot remains T07 baseline alternative,Median imputation/optional scaling,True
WindDir3pm_cos,WindDir3pm,Cyclical wind,cos(direction degrees),missing direction -> 0 plus explicit indicator,Preserves circular compass geometry,Train mean No=-0.062; Yes=0.021.,"Replaces, rather than duplicates, direction one-hot",Same-day direction only,KEEP,Compact circular default; one-hot remains T07 baseline alternative,Median imputation/optional scaling,True
WindDir3pm_missing,WindDir3pm,Binary indicator,1 when original direction missing else 0,never missing,Distinguishes neutral encoding from observed direction,Train mean No=0.019; Yes=0.025.,Required companion to circular encoding,Same-day missingness only,KEEP,Prevents silent assignment of missing to a bearing,Binary passthrough; not scaled,True
Sunshine_missing,Sunshine,Binary indicator,created by T07 before imputation,never missing,Retains station-dependent structural missingness,"40,983 Train source values missing.",Existing T07 feature; do not duplicate,Same-day missingness only,KEEP,T03/T07 evidence supports retaining the missingness signal,Created once by preprocessing; not scaled,True
Evaporation_missing,Evaporation,Binary indicator,created by T07 before imputation,never missing,Retains station-dependent structural missingness,"37,380 Train source values missing.",Existing T07 feature; do not duplicate,Same-day missingness only,KEEP,T03/T07 evidence supports retaining the missingness signal,Created once by preprocessing; not scaled,True
Cloud9am_missing,Cloud9am,Binary indicator,created by T07 before imputation,never missing,Retains station-dependent structural missingness,"35,981 Train source values missing.",Existing T07 feature; do not duplicate,Same-day missingness only,KEEP,T03/T07 evidence supports retaining the missingness signal,Created once by preprocessing; not scaled,True
Cloud3pm_missing,Cloud3pm,Binary indicator,created by T07 before imputation,never missing,Retains station-dependent structural missingness,"36,982 Train source values missing.",Existing T07 feature; do not duplicate,Same-day missingness only,KEEP,T03/T07 evidence supports retaining the missingness signal,Created once by preprocessing; not scaled,True
Rainfall_log1p,Rainfall,Monotonic transform,log1p(Rainfall),missing when Rainfall missing,Compresses strong right skew,Train mean No=0.319; Yes=1.085.,Highly related to raw Rainfall,Same-day rainfall only,OPTIONAL,May help linear/scale-sensitive models; tree models may not need it,Train-fitted median/optional scaling if enabled,False
ClimateZone,Location,Proposed categorical,authoritative mapping not available,not implemented,Could summarize climate geography,Not assessed,Would overlap Location,Unsupported mapping could encode assumptions,DEFERRED,No authoritative mapping is incorporated,None until defensible mapping exists,False
