Feature / Feature group,Issue,Evidence,Options considered,Chosen preprocessing,Why chosen,Train-only fitted?,Future consideration
Target,"3,267 missing labels",T01/T03/T06 counts,Impute; exclude from supervised view,Exclude only unlabelled rows in memory; never impute target,Supervised learning requires known outcomes,No learned parameter,Retain raw rows unchanged
Duplicates,Potential repeated observations,0 exact and 0 Date + Location duplicates,Remove duplicates; retain,Retain every labelled row,No duplicates require removal,No learned parameter,Recheck if source changes
Sunshine/Evaporation/Cloud9am/Cloud3pm,High structural missingness,38–48% missing; strong station dependence,Global median; drop; Location median + fallback,"Train Location median, then Train global median, plus indicator",Preserves features and station structure reproducibly,Yes,Compare alternatives during modelling without Test
Other numerical predictors,Low/moderate missingness,T03 missingness inventory,Mean; median; row deletion,Train global median,Robust to skew/extremes and retains rows,Yes,Algorithm-specific alternatives later
Categorical predictors,Missing wind/RainToday values,Missingness is informative source absence,Mode; row deletion; explicit category,Explicit Missing category,Does not invent an observed category,Vocabulary from Train plus reserved Missing,Review rare categories later
Original categorical predictors,Non-numeric values and possible unseen categories,Five original categorical variables,Ordinal; target; one-hot encoding,"Train-fitted one-hot, handle unknown safely",Conventional and leakage-safe,Yes,Cyclical wind belongs to T08
Extreme/suspicious values,Long tails and unresolved source values,T05 found no likely-invalid values,Delete; cap; winsorise; retain,Retain unchanged,Statistical outlier is not confirmed error,No learned treatment,Alternative treatment remains experiment
Numerical scale,Algorithms differ in scale sensitivity,Mixed units and long-tailed weather measures,No scaling; standard; robust scaling,Configurable unscaled and Train-fitted StandardScaler paths,Supports future algorithm families without model choice now,Yes for scaled path,Choose path during modelling
Date,Needed for chronology and later temporal features,T06 split field,One-hot raw string; derive features now; preserve separately,"Preserve separately, exclude from transformer",Avoids raw-date encoding and defers T08,No,Date-derived features in T08
RainToday and Rainfall,High redundancy and threshold boundary,T04: dataset convention Rainfall > 1.0 mm,Drop one now; retain both,Retain both,No model-based feature selection in T07,No,Feature-selection consideration later
