Feature,Feature type,Observed relationship with RainTomorrow,Descriptive association assessment,Missingness concern,Redundancy concern,Future consideration
MinTemp,Numerical,Median Yes=12.7 versus No=11.8; standardized mean difference=0.203.,Weak observed separation,Low (1.02%),"Correlated with Temp9am, Temp3pm, and MaxTemp",Retain for now; evaluate robustness and predictive contribution after leakage-safe splitting.
MaxTemp,Numerical,Median Yes=20.2 versus No=23.3; standardized mean difference=-0.389.,Weak observed separation,Low (0.87%),Very strongly correlated with Temp3pm; correlated with morning temperatures,Retain for now; evaluate robustness and predictive contribution after leakage-safe splitting.
Rainfall,Numerical,Median Yes=0.8 versus No=0; standardized mean difference=0.451.,Weak observed separation,Low (2.24%),Strong definitional overlap with RainToday threshold indicator,Retain for now; evaluate robustness and predictive contribution after leakage-safe splitting.
Evaporation,Numerical,Median Yes=3.8 versus No=5; standardized mean difference=-0.308.,Weak observed separation,High (43.17%),No specific high-correlation concern identified at T04,Retain for now; evaluate robustness and predictive contribution after leakage-safe splitting.
Sunshine,Numerical,Median Yes=4.3 versus No=9.4; standardized mean difference=-1.209.,Strong observed separation,High (48.01%),No specific high-correlation concern identified at T04,Retain for now; evaluate robustness and predictive contribution after leakage-safe splitting.
WindGustSpeed,Numerical,Median Yes=44 versus No=37; standardized mean difference=0.541.,Moderate observed association,Moderate (7.06%),No specific high-correlation concern identified at T04,Retain for now; evaluate robustness and predictive contribution after leakage-safe splitting.
WindSpeed9am,Numerical,Median Yes=15 versus No=13; standardized mean difference=0.213.,Weak observed separation,Low (1.21%),Related morning/afternoon wind-speed measure,Retain for now; evaluate robustness and predictive contribution after leakage-safe splitting.
WindSpeed3pm,Numerical,Median Yes=19 versus No=17; standardized mean difference=0.203.,Weak observed separation,Low (2.11%),Related morning/afternoon wind-speed measure,Retain for now; evaluate robustness and predictive contribution after leakage-safe splitting.
Humidity9am,Numerical,Median Yes=80 versus No=67; standardized mean difference=0.668.,Moderate observed association,Low (1.82%),Related morning/afternoon measure; correlation should be considered later,Retain for now; evaluate robustness and predictive contribution after leakage-safe splitting.
Humidity3pm,Numerical,Median Yes=70 versus No=47; standardized mean difference=1.188.,Strong observed separation,Low (3.10%),Related morning/afternoon measure; correlation should be considered later,Retain for now; evaluate robustness and predictive contribution after leakage-safe splitting.
Pressure9am,Numerical,Median Yes=1014.3 versus No=1018.5; standardized mean difference=-0.596.,Moderate observed association,Moderate (10.36%),Very strongly correlated with Pressure3pm,Retain for now; evaluate robustness and predictive contribution after leakage-safe splitting.
Pressure3pm,Numerical,Median Yes=1012.2 versus No=1016; standardized mean difference=-0.543.,Moderate observed association,Moderate (10.33%),Very strongly correlated with Pressure9am,Retain for now; evaluate robustness and predictive contribution after leakage-safe splitting.
Cloud9am,Numerical,Median Yes=7 versus No=4; standardized mean difference=0.844.,Strong observed separation,High (38.42%),No specific high-correlation concern identified at T04,Retain for now; evaluate robustness and predictive contribution after leakage-safe splitting.
Cloud3pm,Numerical,Median Yes=7 versus No=4; standardized mean difference=1.044.,Strong observed separation,High (40.81%),No specific high-correlation concern identified at T04,Retain for now; evaluate robustness and predictive contribution after leakage-safe splitting.
Temp9am,Numerical,Median Yes=16.1 versus No=16.9; standardized mean difference=-0.062.,Minimal observed separation,Low (1.21%),Strongly correlated with MinTemp and MaxTemp,Retain for now; evaluate robustness and predictive contribution after leakage-safe splitting.
Temp3pm,Numerical,Median Yes=18.4 versus No=21.9; standardized mean difference=-0.475.,Weak observed separation,Low (2.48%),Very strongly correlated with MaxTemp,Retain for now; evaluate robustness and predictive contribution after leakage-safe splitting.
RainToday,Categorical,Observed category Yes rates span 15.19% to 46.41% (range 31.22 percentage points).,Strong observed separation,Low (2.24%),Strong definitional overlap with Rainfall,Preserve original categories; encoding and contribution assessment are deferred.
WindGustDir,Categorical,Observed category Yes rates span 14.88% to 28.54% (range 13.66 percentage points).,Moderate observed association,Moderate (7.10%),No direct numerical redundancy conclusion; preserve category meaning,Preserve original categories; encoding and contribution assessment are deferred.
WindDir9am,Categorical,Observed category Yes rates span 14.57% to 30.99% (range 16.42 percentage points).,Moderate observed association,Moderate (7.26%),No direct numerical redundancy conclusion; preserve category meaning,Preserve original categories; encoding and contribution assessment are deferred.
WindDir3pm,Categorical,Observed category Yes rates span 16.95% to 28.27% (range 11.32 percentage points).,Moderate observed association,Low (2.91%),No direct numerical redundancy conclusion; preserve category meaning,Preserve original categories; encoding and contribution assessment are deferred.
Location,Categorical,Observed category Yes rates span 6.76% to 36.55% (range 29.79 percentage points).,Strong observed separation,Low (0.00%),No direct numerical redundancy conclusion; preserve category meaning,Preserve original categories; encoding and contribution assessment are deferred.
