Risk,Example in this project,Potential consequence,Control / prevention,Stage where controlled,Status
Target leakage,RainTomorrow included among predictors,The model would be given the answer it is meant to predict.,Explicitly exclude RainTomorrow from the future predictor matrix.,T07/later,Planned
RISK_MM leakage,RISK_MM contains next-day rainfall amount,Near-direct target disclosure would produce unrealistically strong results.,Verify RISK_MM is absent and reject it if encountered.,T01 and T06,Implemented now
Imputation leakage,"Means, medians, modes, or categorical rules learned from all dates",Validation/test information would influence training inputs.,Fit numerical and categorical imputation rules on Train only.,T07,Planned
Encoding leakage,Categories or encoders learned from validation/test rows,Future category information would shape the training representation.,Fit encoders on Train only; define unknown-category handling.,T07,Planned
Scaling leakage,Scaling statistics calculated across all three subsets,Future distributions would influence transformed training values.,Fit scalers on Train only and apply unchanged to later subsets.,T07,Planned
Feature-selection leakage,Selecting predictors using validation/test outcomes,Reported performance would be optimistically biased.,Select features within Train/development procedures only.,T07/later,Planned
Resampling leakage,Class balancing before the split or across validation/test rows,Synthetic or duplicated information could cross subset boundaries.,Apply any class balancing to Train only after splitting.,Later modelling,Planned
Temporal leakage,Random rows place later weather in development data and nearby station-days across subsets,Evaluation would not represent prediction on unseen future dates.,Use whole-date chronological Train/Validation/Test boundaries.,T06,Implemented now
Future-derived feature leakage,"Tomorrow's measurements, future rainfall/stations, or future-inclusive aggregates",Predictors would contain information unavailable on the observation date.,Require every engineered feature to use observation-date-or-earlier information only.,T08,Planned
Test-set reuse / tuning leakage,Repeatedly choosing models or probability thresholds from Test results,The Test set would cease to represent an independent final assessment.,Fit thresholds within a training-only development procedure; never tune on Test.,Later modelling,Planned
