Feature,Observation,Interpretation,Future consideration
Humidity3pm,Median Yes=70 versus No=47; standardized mean difference=1.188.,"Higher afternoon humidity is consistent with wetter atmospheric conditions, but this is association, not causation.","Retain unchanged in T04; later evaluate non-linearity, redundancy, and predictive contribution using leakage-safe data."
Humidity9am,Median Yes=80 versus No=67; standardized mean difference=0.668.,"Morning humidity also differs by target class, with weaker separation than afternoon humidity.","Retain unchanged in T04; later evaluate non-linearity, redundancy, and predictive contribution using leakage-safe data."
Pressure3pm,Median Yes=1012.2 versus No=1016; standardized mean difference=-0.543.,Lower afternoon pressure is associated with next-day rain in this sample; weather systems and location may confound it.,"Retain unchanged in T04; later evaluate non-linearity, redundancy, and predictive contribution using leakage-safe data."
Pressure9am,Median Yes=1014.3 versus No=1018.5; standardized mean difference=-0.596.,"Lower morning pressure is associated with next-day rain, without establishing an independent causal effect.","Retain unchanged in T04; later evaluate non-linearity, redundancy, and predictive contribution using leakage-safe data."
Sunshine,Median Yes=4.3 versus No=9.4; standardized mean difference=-1.209.,Lower recorded sunshine accompanies more Yes labels where sunshine is observed; structural station missingness limits coverage.,Later compare missingness-aware handling and coverage-sensitive usefulness; do not impute globally by default.
Cloud3pm,Median Yes=7 versus No=4; standardized mean difference=1.044.,"Greater afternoon cloud cover accompanies more Yes labels, subject to substantial station-dependent missingness.",Later assess missing indicators or station-aware handling and possible non-linear effects.
Cloud9am,Median Yes=7 versus No=4; standardized mean difference=0.844.,"Greater morning cloud cover accompanies more Yes labels, subject to substantial station-dependent missingness.",Later assess missing indicators or station-aware handling and possible non-linear effects.
Rainfall,Median Yes=0.8 versus No=0; standardized mean difference=0.451.,"Recent rainfall is associated with next-day rain, consistent with persistence in wet conditions; skew and threshold overlap matter.",Later assess transformation/non-linearity and redundancy with RainToday after the chronological split is fixed.
RainToday,Observed category Yes rates span 15.19% to 46.41% (range 31.22 percentage points).,"RainToday separates target rates and reflects recent rainfall status, but it substantially overlaps with Rainfall by definition.",Retain for now; later compare its incremental value against Rainfall without leakage.
WindGustSpeed,Median Yes=44 versus No=37; standardized mean difference=0.541.,"Higher gust speeds are associated with Yes labels, but the distributions overlap and extremes remain untreated.","Retain unchanged in T04; later evaluate non-linearity, redundancy, and predictive contribution using leakage-safe data."
